prompt_id,probe_id,scenario,category,query_id,target_id,max_similarity,top1_top2_margin,top1_id
shirt_q03_s03,shirt_q03,identity,shirt,B00B31W2TC,B00B2JD2CQ,0.2913665473461151,0.0024856626987457275,B0079085BA
shirt_q03_s04,shirt_q03,contradiction,shirt,B00B31W2TC,B00B2JD2CQ,0.2612731456756592,0.0015150010585784912,B00A78V6NU
shirt_q03_s05,shirt_q03,ood,shirt,B00B31W2TC,B00B2JD2CQ,0.29276177287101746,0.0031918883323669434,B003AU61WI
shirt_q03_s06,shirt_q03,unsatisfiable,shirt,B00B31W2TC,B00B2JD2CQ,0.2941927909851074,0.03399893641471863,B0079085BA
shirt_q04_s01,shirt_q04,in_domain,shirt,B002UQJENQ,B004KPD8FA,0.3296259045600891,0.03679189085960388,B002TSURL8
shirt_q04_s02,shirt_q04,paraphrase,shirt,B002UQJENQ,B004KPD8FA,0.34502550959587097,0.04442134499549866,B002TSURL8
shirt_q04_s03,shirt_q04,identity,shirt,B002UQJENQ,B004KPD8FA,0.25368940830230713,0.005794808268547058,B005KLXWRM
shirt_q04_s04,shirt_q04,contradiction,shirt,B002UQJENQ,B004KPD8FA,0.27378156781196594,0.006747931241989136,B009K8BJJY
shirt_q04_s05,shirt_q04,ood,shirt,B002UQJENQ,B004KPD8FA,0.37833237648010254,0.031656354665756226,B003R4PEN4
shirt_q04_s06,shirt_q04,unsatisfiable,shirt,B002UQJENQ,B004KPD8FA,0.27767130732536316,0.016765087842941284,B0081QK3A2
shirt_q05_s01,shirt_q05,in_domain,shirt,B005CQAIYK,B001B14HE2,0.36800244450569153,0.012370377779006958,B000BZGDDM
shirt_q05_s02,shirt_q05,paraphrase,shirt,B005CQAIYK,B001B14HE2,0.3535655736923218,0.004112601280212402,B00AX46SOA
shirt_q05_s03,shirt_q05,identity,shirt,B005CQAIYK,B001B14HE2,0.2946428060531616,0.009426534175872803,B009DNSL06
shirt_q05_s04,shirt_q05,contradiction,shirt,B005CQAIYK,B001B14HE2,0.30642667412757874,0.00788077712059021,B008N66KPM
shirt_q05_s05,shirt_q05,ood,shirt,B005CQAIYK,B001B14HE2,0.29435527324676514,0.022694319486618042,B008FFYK2Q
shirt_q05_s06,shirt_q05,unsatisfiable,shirt,B005CQAIYK,B001B14HE2,0.25002938508987427,0.0007249414920806885,B0018EEU3A
shirt_q06_s01,shirt_q06,in_domain,shirt,B00B1FCGFU,B000F5LTXW,0.36568447947502136,0.008395224809646606,B009ZYNH84
shirt_q06_s02,shirt_q06,paraphrase,shirt,B00B1FCGFU,B000F5LTXW,0.3653828203678131,0.021659284830093384,B009ZYOM60
shirt_q06_s03,shirt_q06,identity,shirt,B00B1FCGFU,B000F5LTXW,0.2566397190093994,0.008486807346343994,B00FJ5IABW
shirt_q06_s04,shirt_q06,contradiction,shirt,B00B1FCGFU,B000F5LTXW,0.2761498689651489,0.004604339599609375,B00CLJ18BS
shirt_q06_s05,shirt_q06,ood,shirt,B00B1FCGFU,B000F5LTXW,0.29386037588119507,0.007979989051818848,B001UK1WWY
shirt_q06_s06,shirt_q06,unsatisfiable,shirt,B00B1FCGFU,B000F5LTXW,0.31497329473495483,0.00972968339920044,B009ZYOM60
shirt_q07_s01,shirt_q07,in_domain,shirt,B0095VZ8JI,B008MHFJIQ,0.24381758272647858,0.012233272194862366,B00CLXRI90
shirt_q07_s02,shirt_q07,paraphrase,shirt,B0095VZ8JI,B008MHFJIQ,0.24932131171226501,0.002984970808029175,B005KMKG9S
shirt_q07_s03,shirt_q07,identity,shirt,B0095VZ8JI,B008MHFJIQ,0.31934839487075806,0.01519012451171875,B009ZGPRMQ
shirt_q07_s04,shirt_q07,contradiction,shirt,B0095VZ8JI,B008MHFJIQ,0.2696670889854431,0.014073312282562256,B000ICIB4M
shirt_q07_s05,shirt_q07,ood,shirt,B0095VZ8JI,B008MHFJIQ,0.29736992716789246,0.0036035478115081787,B009ZGPRMQ
shirt_q07_s06,shirt_q07,unsatisfiable,shirt,B0095VZ8JI,B008MHFJIQ,0.2531203031539917,0.005082964897155762,B00BGJ4OQA
shirt_q08_s01,shirt_q08,in_domain,shirt,B00AOJHO56,245600258X,0.36594158411026,0.01996442675590515,B004P8CIT4
shirt_q08_s02,shirt_q08,paraphrase,shirt,B00AOJHO56,245600258X,0.3551466166973114,0.008136361837387085,B00BT90QDW
shirt_q08_s03,shirt_q08,identity,shirt,B00AOJHO56,245600258X,0.2859046459197998,0.010142475366592407,B00AY2FULS
shirt_q08_s04,shirt_q08,contradiction,shirt,B00AOJHO56,245600258X,0.2817302346229553,0.018442749977111816,B009LM4LYO
shirt_q08_s05,shirt_q08,ood,shirt,B00AOJHO56,245600258X,0.2498236745595932,0.005200251936912537,B004Z2OHIA
shirt_q08_s06,shirt_q08,unsatisfiable,shirt,B00AOJHO56,245600258X,0.2842242121696472,0.0004962682723999023,B002DP8NB8
shirt_q09_s01,shirt_q09,in_domain,shirt,B001CWN1A6,B001L0ZVIE,0.3742624819278717,0.01095232367515564,B008EF1L5G
shirt_q09_s02,shirt_q09,paraphrase,shirt,B001CWN1A6,B001L0ZVIE,0.34105199575424194,0.006393611431121826,B001L0ZVIE
shirt_q09_s03,shirt_q09,identity,shirt,B001CWN1A6,B001L0ZVIE,0.312088280916214,0.004757672548294067,B00ATQ60M2
shirt_q09_s04,shirt_q09,contradiction,shirt,B001CWN1A6,B001L0ZVIE,0.3309304416179657,0.016826599836349487,B000RN76GG
shirt_q09_s05,shirt_q09,ood,shirt,B001CWN1A6,B001L0ZVIE,0.31167086958885193,0.029889613389968872,B001UFZIJ2
shirt_q09_s06,shirt_q09,unsatisfiable,shirt,B001CWN1A6,B001L0ZVIE,0.2678517997264862,0.005609661340713501,B00ANJ14LC
shirt_q10_s01,shirt_q10,in_domain,shirt,B00AZIAZK2,B001LY2VLK,0.3714989423751831,0.0328197181224823,B001S2PQ4O
shirt_q10_s02,shirt_q10,paraphrase,shirt,B00AZIAZK2,B001LY2VLK,0.3443579077720642,0.008275479078292847,B001S2PQ4O
shirt_q10_s03,shirt_q10,identity,shirt,B00AZIAZK2,B001LY2VLK,0.3327977955341339,0.014905482530593872,B000A1OIUM
shirt_q10_s04,shirt_q10,contradiction,shirt,B00AZIAZK2,B001LY2VLK,0.27347537875175476,0.0029771625995635986,B002E0G86O
shirt_q10_s05,shirt_q10,ood,shirt,B00AZIAZK2,B001LY2VLK,0.30370813608169556,0.000755012035369873,B000JCCHBE
shirt_q10_s06,shirt_q10,unsatisfiable,shirt,B00AZIAZK2,B001LY2VLK,0.2745265066623688,0.009582608938217163,B0018EEU3A
